,id_dep,nome,Ano-Mes,dataDocumento,nomeFornecedor,tipoDespesa,valorLiquido
938,178957,ABEL MESQUITA JR.,2018-04,2018-04-17,CLARO S.A.,TELEFONIA,291.92
939,178957,ABEL MESQUITA JR.,2018-08,2018-08-23,CLARO S.A.,TELEFONIA,184.99
940,178957,ABEL MESQUITA JR.,2018-06,2018-06-06,CLARO S.A.,TELEFONIA,171.87
941,178957,ABEL MESQUITA JR.,2018-07,2018-07-05,CLARO S.A.,TELEFONIA,174.99
942,178957,ABEL MESQUITA JR.,2018-09,2018-09-21,CLARO S.A.,TELEFONIA,153.09
943,178957,ABEL MESQUITA JR.,2018-07,2018-07-08,CLARO S.A.,TELEFONIA,445.21
944,178957,ABEL MESQUITA JR.,2018-06,2018-06-08,CLARO S.A.,TELEFONIA,372.56
945,178957,ABEL MESQUITA JR.,2018-05,2018-05-08,CLARO S.A.,TELEFONIA,442.33
946,178957,ABEL MESQUITA JR.,2018-01,2018-01-08,CLARO S.A.,TELEFONIA,349.35
947,178957,ABEL MESQUITA JR.,2018-03,2018-03-08,CLARO S.A.,TELEFONIA,448.05
948,178957,ABEL MESQUITA JR.,2018-03,2018-03-08,CLARO S.A.,TELEFONIA,265.69
949,178957,ABEL MESQUITA JR.,2018-02,2018-02-08,CLARO S.A.,TELEFONIA,460.04
950,178957,ABEL MESQUITA JR.,2018-05,2018-05-18,CLARO S/A,TELEFONIA,565.92
951,178957,ABEL MESQUITA JR.,2018-03,2018-03-18,CLARO S/A,TELEFONIA,574.84
952,178957,ABEL MESQUITA JR.,2018-09,2018-09-17,NET CLARO,TELEFONIA,408.62
953,178957,ABEL MESQUITA JR.,2018-10,2018-10-23,NET CLARO,TELEFONIA,184.99
954,178957,ABEL MESQUITA JR.,2018-11,2018-11-20,NET CLARO,TELEFONIA,121.8
955,178957,ABEL MESQUITA JR.,2018-11,2018-11-20,NET CLARO,TELEFONIA,121.8
956,178957,ABEL MESQUITA JR.,2018-11,2018-11-23,NET CLARO,TELEFONIA,184.99
957,178957,ABEL MESQUITA JR.,2018-08,2018-08-16,NET CLARO,TELEFONIA,176.63
958,178957,ABEL MESQUITA JR.,2018-10,2018-10-05,NET CLARO,TELEFONIA,176.63
959,178957,ABEL MESQUITA JR.,2018-09,2018-09-08,NET CLARO,TELEFONIA,359.98
960,178957,ABEL MESQUITA JR.,2018-11,2018-11-08,NET CLARO,TELEFONIA,439.82
961,178957,ABEL MESQUITA JR.,2018-08,2018-08-08,NET CLARO,TELEFONIA,359.91
962,178957,ABEL MESQUITA JR.,2018-10,2018-10-08,NET CLARO,TELEFONIA,404.23
963,178957,ABEL MESQUITA JR.,2018-11,2018-11-08,NET CLARO,TELEFONIA,366.6
964,178957,ABEL MESQUITA JR.,2018-04,2018-04-26,OI S.A,TELEFONIA,108.14
965,178957,ABEL MESQUITA JR.,2018-03,2018-03-26,OI S.A,TELEFONIA,108.14
966,178957,ABEL MESQUITA JR.,2018-06,2018-06-26,OI S.A. - EM RECUPERACAO JUDICIAL,TELEFONIA,52.31
967,178957,ABEL MESQUITA JR.,2018-02,2018-02-26,OI S.A. - EM RECUPERACAO JUDICIAL,TELEFONIA,108.14
968,178957,ABEL MESQUITA JR.,2018-01,2018-01-26,OI S.A. - EM RECUPERACAO JUDICIAL,TELEFONIA,108.14
969,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,8.73
970,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,0.31
971,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,3.57
972,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,5.56
973,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,4.67
974,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,0.11
975,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,21.97
976,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,32.53
977,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,45.57
978,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,37.54
979,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,41.84
980,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,79.08
981,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,39.97
982,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,7.92
983,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,10.21
984,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,17.35
985,178957,ABEL MESQUITA JR.,,,RAMAL,TELEFONIA,12.86
986,178957,ABEL MESQUITA JR.,2018-09,2018-09-01,Telefônica Brasil S. A.,TELEFONIA,491.03
987,178957,ABEL MESQUITA JR.,2018-03,2018-03-01,TELEFONICA BRASIL S.A.,TELEFONIA,875.92
988,178957,ABEL MESQUITA JR.,2018-08,2018-08-01,TELEFONICA BRASIL S.A.,TELEFONIA,489.99
989,178957,ABEL MESQUITA JR.,2018-02,2018-02-01,TELEFONICA BRASIL S.A.,TELEFONIA,320.55
990,178957,ABEL MESQUITA JR.,2018-04,2018-04-01,TELEFONICA BRASIL S.A.,TELEFONIA,875.92
991,178957,ABEL MESQUITA JR.,2018-05,2018-05-01,TELEFONICA BRASIL S.A.,TELEFONIA,886.21
992,178957,ABEL MESQUITA JR.,2018-03,2018-03-13,TELEFONICA BRASIL S.A.,TELEFONIA,589.99
993,178957,ABEL MESQUITA JR.,2018-10,2018-10-01,TELEFONICA BRASIL S.A.,TELEFONIA,490.6
994,178957,ABEL MESQUITA JR.,2018-12,2018-12-01,TELEFONICA BRASIL S.A.,TELEFONIA,502.89
995,178957,ABEL MESQUITA JR.,2018-06,2018-06-01,TELEFONICA BRASIL S.A. - VIVO,TELEFONIA,547.89
996,178957,ABEL MESQUITA JR.,2018-07,2018-07-01,TELEFÔNICA BRASIL S.A. VIVO,TELEFONIA,798.32
997,178957,ABEL MESQUITA JR.,2018-11,2018-11-01,TELEFONICA BRASIL S.A. VIVO,TELEFONIA,499.99
998,178957,ABEL MESQUITA JR.,2018-03,2018-03-08,CORREIOS - CARTA COMERCIAL,SERVIÇOS POSTAIS,4.35
999,178957,ABEL MESQUITA JR.,2018-03,2018-03-08,CORREIOS - CARTA COMERCIAL,SERVIÇOS POSTAIS,4.35
